Grapheme;Prior_Probability;Phoneme;Conditional_Probability;Example;
A;.0712;ae;.542;cab;vowel
A;.0712;uh-;.186;canal;vowel
A;.0712;ay;.129;angel;vowel
A;.0712;ah;.077;wad;vowel
A;.0712;aw;.021;also;vowel
A;.0712;er;.021;coward;vowel
A;.0712;eh;.020;many;vowel
A;.0712;ih;.0005;spinach;vowel
A-E;.0111;ay;.651;ate;vowel
A-E;.0111;ih;.154;senate;vowel
A-E;.0111;ae;.121;madame;vowel
A-E;.0111;eh;.042;orange;vowel
A-E;.0111;ah;.025;are;vowel
A-E;.0111;aw;.002;false;vowel
A-E;.0111;uh-;.002;pirate;vowel
AE;.00005;ee;.833;algae;vowel
AE;.00005;eh;.166;aesthetic;vowel
AH;.00003;ah;1.000;dahlia;vowel
AI;.0026;ay;.734;aid ;vowel
AI;.0026;eh;.176;said;vowel
AI;.0026;ih;.053;captain;vowel
AI;.0026;uh-;.031;villain;vowel
AI;.0026;ae;.003;plaid;vowel
AI-E;.0002;ay;.818;aide;vowel
AI-E;.0002;eh;.136;millionaire;vowel
AI-E;.0002;ai;.045;aisle;vowel
AIGH;.00003;ay;1.000;straight;vowel
AO;.00001;aw;1.000;extraordinary;vowel
AU;.0014;aw;.948;faucet;vowel
AU;.0014;ah;.025;aunt;vowel
AU;.0014;o;.019;taupe ;vowel
AU;.0014;uh-;.006;epaulet;vowel
AU-E;.0001;aw;.750;cause;vowel
AU-E;.0001;o;.166;mauve;vowel
AU-E;.0001;ay;.083;gauge;vowel
AUGH;.0001;aw;1.000;caught;vowel
AW;.0006;aw;1.000;law;vowel
AW-E;.00001;aw;1.000;awe;vowel
AY;.0012;ay;.970;way;vowel
AY;.0012;ai;.022;kayak ;vowel
AY;.0012;eh;.007;says;vowel
AY-E;.000009;ay;1.000;aye ;vowel
E;.0730;eh;.419;end;vowel
E;.0730;er;.249;baker;vowel
E;.0730;ee;.230;senior;vowel
E;.0730;uh-;.096;rebel;vowel
E;.0730;ay;.002;cafe ;vowel
E;.0730;ah;.0006;encore;vowel
E;.0730;ih;.0006;pretty;vowel
E;.0730;y;.0001;azalea;vowel
E-E;.0032;eh;.321;edge;vowel
E-E;.0032;uh-;.286;science;vowel
E-E;.0032;ee;.252;eve;vowel
E-E;.0032;er;.119;traverse;vowel
E-E;.0032;ay;.017;fete;vowel
E-E;.0032;ih;.002;privilege;vowel
EA;.0047;ee;.576;eat;vowel
EA;.0047;eh;.298;head;vowel
EA;.0047;er;.056;earn;vowel
EA;.0047;ah;.035;heart;vowel
EA;.0047;ay;.027;break;vowel
EA;.0047;uh-;.005;pageant;vowel
EA-E;.0003;ee;.882;ease;vowel
EA-E;.0003;er;.058;hearse;vowel
EA-E;.0003;eh;.029;mileage;vowel
EA-E;.0003;ih;.029;cleanse;vowel
EAU;.0001;o;.545;beau;vowel
EAU;.0001;yu;.454;beauty;vowel
EE;.0026;ee;.979;bee;vowel
EE;.0026;ih;.020;been;vowel
EE-E;.00008;ee;1.000;geese;vowel
EI;.0005;ee;.315;ceiling;vowel
EI;.0005;ay;.245;vein;vowel
EI;.0005;ih;.192;forfeit;vowel
EI;.0005;ai;.105;stein;vowel
EI;.0005;eh;.105;heifer;vowel
EI;.0005;uh-;.035;sovereign;vowel
EI-E;.00007;ee;.750;seize;vowel
EI-E;.00007;ay;.250;seine;vowel
EIGH;.0001;ay;.857;eight;vowel
EIGH;.0001;ai;.142;height;vowel
EO;.0001;uh-;.666;pigeon;vowel
EO;.0001;eh;.200;leopard;vowel
EO;.0001;ee;.133;people;vowel
EOU;.00007;uh-;1.000;courageous;vowel
ET;.00008;ay;1.000;beret;vowel
EU;.0003;yu;.717;feud;vowel
EU;.0003;er;.153;amateur;vowel
EU;.0003;oo;.102;sleuth;vowel
EU;.0003;u;.025;pleurisy;vowel
EU-E;.000009;yu;1.000;deuce;vowel
EW;.0005;yu;.603;news;vowel
EW;.0005;oo;.349;shrewd;vowel
EW;.0005;o;.047;sew;vowel
EW-E;.000009;yu;1.000;ewe;vowel
EY;.0005;ee;.741;key;vowel
EY;.0005;ay;.225;they ;vowel
EY;.0005;ai;.016;geyser;vowel
EY;.0005;eh;.016;eyrie;vowel
EY-E;.00006;ai;1.000;eye ;vowel
I;.0688;ih;.716;in;vowel
I;.0688;uh-;.180;civil;vowel
I;.0688;ai;.074;find;vowel
I;.0688;er;.015;affirm ;vowel
I;.0688;y;.008;senior;vowel
I;.0688;ee;.005;ski;vowel
I-E;.0086;ai;.589;ice;vowel
I-E;.0086;ih;.356;give;vowel
I-E;.0086;ee;.046;elite;vowel
I-E;.0086;uh-;.006;fragile ;vowel
I-E;.0086;er;1.000;dirge;vowel
IA;.00001;uh-;1.000;parliament;vowel
IA-E;.00002;ih;1.000;marriage;vowel
IE;.0011;ee;.492;chief;vowel
IE;.0011;ai;.203;tried;vowel
IE;.0011;uh-;.171;ancient;vowel
IE;.0011;ih;.101;mischief;vowel
IE;.0011;eh;.031;friend;vowel
IE-E;.0002;ee;.838;piece;vowel
IE-E;.0002;uh-;.129;patience;vowel
IE-E;.0002;ih;.032;sieve;vowel
IEU;.00003;yu;1.000;lieu;vowel
IEW;.00005;yu;1.000;view;vowel
IGH;.0008;ai;1.000;night;vowel
O;.0550;o;.314;only;vowel
O;.0550;uh-;.269;carton;vowel
O;.0550;ah;.261;odd;vowel
O;.0550;aw;.072;off;vowel
O;.0550;er;.053;honor ;vowel
O;.0550;uh+;.018;oven;vowel
O;.0550;oo;.006;who;vowel
O;.0550;u;.002;today;vowel
O;.0550;ih;.0001;women;vowel
OO-E;.0001;oo;1.000;choose;vowel
O-E;.0043;o;.785;code;vowel
O-E;.0043;uh+;.055;come;vowel
O-E;.0043;uh-;.044;welcome;vowel
O-E;.0043;aw;.044;gone;vowel
O-E;.0043;ah;.042;dodge;vowel
O-E;.0043;oo;.025;lose;vowel
O-E;.0043;er;.002;worse;vowel
OA;.0012;o;.933;coat;vowel
OA;.0012;aw;.066;broad;vowel
OA-E;.00002;o;1.000;coarse;vowel
OE;.0002;o;.590;doe;vowel
OE;.0002;ee;.227; amoeba;vowel
OE;.0002;oo;.181;canoe ;vowel
OH;.00003;o;1.000;ohm;vowel
OI;.0008;oy;1.000;coil;vowel
OI-E;.00009;oy;.800;voice;vowel
OI-E;.00009;uh-;.200;tortoise;vowel
OO;.0027;oo;.570;boot;vowel
OO;.0027;u;.376;wood;vowel
OO;.0027;o;.029;door;vowel
OO;.0027;uh+;.023;blood;vowel
OU;.0064;uh-;.480;enormous;vowel
OU;.0064;au;.324;out;vowel
OU;.0064;uh+;.042;touch;vowel
OU;.0064;o;.041;four;vowel
OU;.0064;oo;.041;you;vowel
OU;.0064;u;.035;could;vowel
OU;.0064;er;.031;glamour;vowel
OU;.0064;w;.001;bivouac ;vowel
OU-E;.0006;au;.794;ounce;vowel
OU-E;.0006;o;.147;course;vowel
OU-E;.0006;oo;.044;route;vowel
OU-E;.0006;er;.014;scourge;vowel
OUGH;0.0002;aw;.517;bought ;vowel
OUGH;0.0002;o;.275;dough;vowel
OUGH;0.0002;au;.137;drought;vowel
OUGH;0.0002;oo;.068;through;vowel
OW;.0022;o;.502;own;vowel
OW;.0022;aw;.481;towel;vowel
OW;.0022;ah;.016;knowledge;vowel
OW-E;.00002;au;.666;browse;vowel
OW-E;.00002;o;.333;owe;vowel
OY;.0004;oy;.972;boy;vowel
OY;.0004;ai;.020;coyote;vowel
OY-E;.000009;oy;1.000;gargoyle;vowel
U;.0267;uh+;.417;up;vowel
U;.0267;yu;.280;union;vowel
U;.0267;uh-;.102;medium;vowel
U;.0267;er;.080;survey;vowel
U;.0267;u;.068;put;vowel
U;.0267;oo;.032;truth;vowel
U;.0267;w;.016;liquid;vowel
U;.0267;eh;.0006;bury;vowel
U;.0267;ih;.001;busy;vowel
U-E;.0033;yu;.703;use;vowel
U-E;.0033;oo;.093;rude;vowel
U-E;.0033;er;.090;measure;vowel
U-E;.0033;uh+;.063;budge;vowel
U-E;.0033;u;.030;sure;vowel
U-E;.0033;uh-;.010;ferrule;vowel
U-E;.0033;ih;.008;minute;vowel
UE;.0003;yu;.627;cue;vowel
UE;.0003;oo;.372;blue;vowel
UI;.0002;ih;.533;build;vowel
UI;.0002;yu;.266;suit;vowel
UI;.0002;oo;.200;fruit;vowel
UI-E;.00003;oo;1.000;juice;vowel
UO;.00001;oo;1.000;buoyant;vowel
UY;.00002;ai;1.000;buy;vowel
Y;.0193;ee;.786;story;vowel
Y;.0193;ai;.100;typist;vowel
Y;.0193;ih;.073;myth;vowel
Y;.0193;y;.025;yes;vowel
Y;.0193;uh-;.010;ethyl;vowel
Y;.0193;er;.002;satyr;vowel
Y-E;.0002;ai;.958;type;vowel
Y-E;.0002;ih;.041;apocalypse;vowel
AL;.00003;ul;1.000;medal;consonant
B;.0206;b;1.000;bad;consonant
BB;.0005;b;1.000;ebb ;consonant
BT;.0001;t;1.000;debt;consonant
C;.0420;k;.757;cab;consonant
C;.0420;s;.234;cent;consonant
C;.0420;sh;.008;ocean ;consonant
C;.0420;tch;.0004;cello;consonant
CCH;.0007;k;1.000;occupy;consonant
CCH;.000009;k;1.000;saccharin;consonant
CE;.00001;sh;1.000;ocean;consonant
CH;.0045;tch;.640;chart;consonant
CH;.0045;k;.290;chorus;consonant
CH;.0045;sh;.069;chef;consonant
CHT;.00001;t;1.000;yacht;consonant
Cl;.0007;sh;1.000;social;consonant
CK;.0026;k;1.000;cracked;consonant
CQ;.00002;k;1.000;acquiesce;consonant
CQU;.00004;kw;1.000;acquaint;consonant
CS;.0002;ks;1.000;ethics;consonant
CT;.00001;t;1.000;indict;consonant
CZ;.000009;z;1.000;czar;consonant
D;.0336;d;.991;dad;consonant
D;.0336;dj;.008;educate;consonant
DD;.0006;d;1.000;add;consonant
DG;.0004;dj;1.000;budget;consonant
DI;.00001;dj;1.000;cordial;consonant
DJ;.0001;dj;1.000;adjust;consonant
ED;.0002;t;1.000;paced;consonant
EL;.0001;ul;1.000;easel;consonant
EN;.0007;un;1.000;shorten;consonant
ES;.0004;z;1.000;goes;consonant
F;.0146;f;.998;farm;consonant
F;.0146;v;.001;of;consonant
FF;.0016;f;1.000;cuff;consonant
FT;.00002;f;1.000;often;consonant
G;.0169;g;.640;gap;consonant
G;.0169;dj;.351;gem;consonant
G;.0169;zh;.008;regime;consonant
GG;.0006;g;.971;egg;consonant
GG;.0006;dj;.028;exaggerate;consonant
GH;.0001;g;.555;ghost;consonant
GH;.0001;f;.444;rough;consonant
Gl;.0001;dj;1.000;region;consonant
GM;.00007;m;1.000;phlegm ;consonant
GN;.0002;n;1.000;gnat ;consonant
GUE;.0001;g;1.000;rogue ;consonant
H;.0070;h;1.000;hot;consonant
IL;.00006;ul;1.000;evil;consonant
IN;.0003;un;1.000;basin;consonant
J;.0020;dj;1.000;jam;consonant
K;.0055;k;1.000;keep;consonant
KH;.00002;k;1.000;khaki;consonant
KN;.0003;n;1.000;knee;consonant
L;.0451;l;1.000;lad;consonant
LD;.00005;d;1.000;could;consonant
