"","spell","pron","lgPronCelFq","logCelFq","logAvgDur","stem","is_complex","celexPhon","phonNeighCount","NearestSemNeighCor","MeanCorTop20","AvCor","MedianCor","MeanCorTop20Unrel","CossinTwinsStem","CossinTwinsFull","L2Ldiag","EuclidDistTwins","SL1norm","CorrectLDLpred","SumChatWord","MinChatWord","L1ChatWord","CorPredWord","LWLinkRatioWord","RankProd"
"10963","gym","_Im",6.5206211275587,4.29045944114839,-1.00735386615748,"gym","FALSE","_Im",17,NA,NA,NA,NA,0,NA,NA,0.096806932997058,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19868","jim","_Im",6.5206211275587,6.40687998606931,-1.302760111671,"Jim","TRUE","_Im",17,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"331","aide","1d",7.02019070831193,4.60517018598809,-0.685675165721244,"aide","FALSE","1d",37,0.582451300556103,0.164899085822368,0.000302931570129,-0.00160302558533435,0.139940522615321,0.025184538564736,0.025184538564736,0.0983176511620346,0.0506161154102616,0.703443122050338,TRUE,1.47923661517625,0.495042996449727,1.47923661517625,0.282870842258877,4,1
"255","aid","1d",7.02019070831193,6.92657703322272,-1.1681316158514,"aid","FALSE","1d",37,0.879444152558658,0.203248972327012,0.00050446258293462,-0.00259670548722033,0.084952259793788,0.025184538564736,NA,0.601392925259198,0.0506161154102616,2.03961420744676,TRUE,1.25036320742222,0.250343700513094,1.25036320742222,0.913717626956247,8,1
"336","aides","1dz",5.26269018890489,4.33073334028633,-0.770658373721951,"aide","TRUE","1dz",17,0.582451300556103,0.164899085822368,0.000302931570129,-0.00160302558533435,0.139940522615321,0.025184538564736,0.114614375746216,0.0983176511620346,0.0506161154102616,1.58469303423356,TRUE,1.98825680478723,0.494035993000179,1.98825680478723,0.625906450352109,6.12244897959184,1
"339","aids","1dz",5.26269018890489,4.76217393479776,-1.01851089194758,"aid","TRUE","1dz",17,0.879444152558658,0.203248972327012,0.00050446258293462,-0.00259670548722033,0.163018932772996,0.025184538564736,NA,0.601392925259198,0.0506161154102616,2.41622228934061,FALSE,1.55170221254236,0.252103625345866,1.55170221254236,0.801117998801035,12,2
"493","airs","8z",4.47733681447821,3.55534806148941,-0.886428577590242,"air","TRUE","8z",27,0.891324682958932,0.262878876395061,0.00406538029435979,0.000481136659058674,0.224411599805215,-0.00722975477883345,0.0720108705825228,0.99245632741162,0.0526209535684381,2.08733134349785,TRUE,0.512365231241728,0.251058708323113,0.512365231241728,0.845977110486076,7.69230769230769,1
"13473","heirs","8z",4.47733681447821,3.97029191355212,-0.644952431710277,"heir","TRUE","8z",27,0.499411291480178,0.142874289361567,-0.00365645323237511,-0.00562420664675866,0.121733094470786,-0.00722975477883345,NA,0.0692101233031516,0.0526209535684381,1.45804645735812,TRUE,0.963988259948539,0.477430661282494,0.963988259948539,0.596207999377616,4.08163265306122,1
"1","ad","Ad",7.79688034278352,6.82979373751242,-1.26641827830462,"ad","FALSE","{d",32,NA,NA,NA,NA,0,NA,NA,0.405538160698191,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","add","Ad",7.79688034278352,7.3185395485679,-1.42136924363768,"add","FALSE","{d",32,0.838924668541867,0.22750785067959,-0.0136235854837275,-0.0138934587180266,0.124193895544237,NA,NA,0.922131283591724,NA,1.95018052303427,TRUE,1.25062362870048,0.250633866774061,1.25062362870048,0.961692577436885,8,1
"214","ads","Adz",5.73657229747919,4.14313472639153,-0.957329762965976,"ad","TRUE","{dz",15,NA,NA,NA,NA,0,NA,NA,0.405538160698191,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","adds","Adz",5.73657229747919,5.50938833662798,-1.3134066454621,"add","TRUE","{dz",15,0.838924668541867,0.22750785067959,-0.0136235854837275,-0.0138934587180266,0.1912119727452,NA,NA,0.922131283591724,NA,2.34991494923376,TRUE,1.55066783784997,0.251033186808267,1.55066783784997,0.895387091431076,12,1
"696","bale","b1l",5.36129216570943,3.25809653802148,-1.34707364796661,"bale","FALSE","b1l",39,0.418827067408266,0.158249446375518,0.00191900404318584,-0.000159806897215007,0.143067831175657,0.0242260357768846,0.0242260357768846,0.0352690526997196,0.0174769848530205,0.327201498109256,TRUE,1.8811689610083,0.365823389118839,1.8811689610083,0.56301201119333,8.10810810810811,1
"677","bail","b1l",5.36129216570943,5.23110861685459,-1.12514878664578,"bail","FALSE","b1l",39,0.364024256521292,0.165720685800386,0.00240799229847644,-0.00129882992915349,0.131241124691585,0.0242260357768846,NA,0.02753352924354,0.0174769848530205,0.178226116371416,TRUE,2.09908413451511,0.233658225931721,2.09908413451511,0.637979238727782,13.0434782608696,1
"893","bates","b1ts",5.28826703069454,3.61091791264422,0.00933132742888422,"bate","TRUE","b1ts",24,0.359398324899657,0.153727038403468,-0.0010617863780357,-0.0034918526488133,0.143569078478933,-0.00616349627464742,0.798062071076674,0.0255830204158418,0.0230833346520159,1.34424811942202,TRUE,2.41357012463765,0.23177582727068,2.41357012463765,0.922056851417071,17.3913043478261,1
