,spell,average_duration,log_avg_duration,pronunciation_frequency,log_pronunciation_frequency,Gesture,pron
0,least,0.28825919439579717,-1.2438952230448954,571.0,6.3473892096560105,"['PersonOnScreen', 'SpeakerOnScreen', 'HeadMoving/MovingVertically']",list
1,least,0.28825919439579717,-1.2438952230448954,571.0,6.3473892096560105,"['PersonOnScreen', 'SpeakerOnScreen']",list
2,least,0.28825919439579717,-1.2438952230448954,571.0,6.3473892096560105,,list
3,least,0.28825919439579717,-1.2438952230448954,571.0,6.3473892096560105,"['PersonOnScreen', 'SpeakerOnScreen', 'HandMoving']",list
4,least,0.28825919439579717,-1.2438952230448954,571.0,6.3473892096560105,['PersonOnScreen'],list
5,least,0.28825919439579717,-1.2438952230448954,571.0,6.3473892096560105,"['PersonOnScreen', 'SpeakerOnScreen', 'HeadMoving/MovingHorizontally']",list
6,least,0.28825919439579717,-1.2438952230448954,571.0,6.3473892096560105,"['SpeakerOnScreen', 'PersonOnScreen']",list
7,least,0.28825919439579717,-1.2438952230448954,571.0,6.3473892096560105,"['SpeakerOnScreen', 'PersonOnScreen', 'HeadMoving/MovingVertically', 'HeadMoving/MovingHorizontally']",list
8,least,0.28825919439579717,-1.2438952230448954,571.0,6.3473892096560105,"['SpeakerOnScreen', 'PersonOnScreen', 'HandMoving']",list
9,least,0.28825919439579717,-1.2438952230448954,571.0,6.3473892096560105,"['PersonOnScreen', 'HeadMoving/MovingHorizontally']",list
10,least,0.28825919439579717,-1.2438952230448954,571.0,6.3473892096560105,"['SpeakerOnScreen', 'PersonOnScreen', 'HeadMoving/MovingHorizontally']",list
11,least,0.28825919439579717,-1.2438952230448954,571.0,6.3473892096560105,"['PersonOnScreen', 'SpeakerOnScreen', 'HeadMoving/MovingHorizontally', 'HandMoving']",list
12,least,0.28825919439579717,-1.2438952230448954,571.0,6.3473892096560105,"['PersonOnScreen', 'SpeakerOnScreen', 'HandMoving', 'ShoulderMoving/SlidingWindow']",list
13,least,0.28825919439579717,-1.2438952230448954,571.0,6.3473892096560105,"['SpeakerOnScreen', 'HeadMoving/MovingVertically', 'PersonOnScreen']",list
14,least,0.28825919439579717,-1.2438952230448954,571.0,6.3473892096560105,"['PersonOnScreen', 'SpeakerOnScreen', 'HandMoving', 'HeadMoving/MovingVertically', 'HeadMoving/MovingHorizontally']",list
15,least,0.28825919439579717,-1.2438952230448954,571.0,6.3473892096560105,"['PersonOnScreen', 'SpeakerOnScreen', 'HeadMoving/MovingVertically', 'HeadMoving/MovingHorizontally']",list
16,least,0.28825919439579717,-1.2438952230448954,571.0,6.3473892096560105,"['SpeakerOnScreen', 'PersonOnScreen', 'HeadMoving/MovingHorizontally', 'HeadMoving/MovingVertically']",list
17,least,0.28825919439579717,-1.2438952230448954,571.0,6.3473892096560105,"['PersonOnScreen', 'HandMoving']",list
18,least,0.28825919439579717,-1.2438952230448954,571.0,6.3473892096560105,"['PersonOnScreen', 'SpeakerOnScreen', 'HeadMoving/MovingHorizontally', 'HeadMoving/MovingVertically']",list
19,least,0.28825919439579717,-1.2438952230448954,571.0,6.3473892096560105,"['SpeakerOnScreen', 'PersonOnScreen', 'HeadMoving/MovingVertically']",list
20,least,0.28825919439579717,-1.2438952230448954,571.0,6.3473892096560105,"['SpeakerOnScreen', 'PersonOnScreen', 'HeadMoving/MovingVertically', 'HandMoving']",list
